currency_pair,price_precision,amount_precision,min_amount
rcn_eth,8,2,10.0
rct_eth,8,2,10.0
rdn_eth,8,4,0.1
read_eth,8,2,10.0
ref_eth,8,5,0.01
ren_eth,8,2,10.0
req_eth,8,3,1.0
rfr_eth,8,1,10.0
rnt_eth,8,2,10.0
salt_eth,8,4,0.1
san_eth,8,3,1.0
show_eth,8,1,10.0
smt_eth,8,2,10.0
snc_eth,8,3,1.0
sngls_eth,8,2,10.0
snm_eth,8,2,10.0
snt_eth,8,2,10.0
soc_eth,8,2,10.0
spf_eth,8,3,1.0
ssc_eth,8,2,10.0
stc_eth,8,2,10.0
storj_eth,8,3,1.0
sub_eth,8,3,1.0
swftc_eth,8,1,10.0
tct_eth,8,2,10.0
theta_eth,8,2,10.0
tio_eth,8,3,1.0
tnb_eth,8,2,10.0
topc_eth,8,2,10.0
tra_eth,8,1,10.0
trio_eth,8,1,10.0
true_eth,8,3,1.0
trx_eth,8,2,10.0
ubtc_eth,8,4,0.1
uct_eth,8,3,1.0
ugc_eth,8,2,10.0
ukg_eth,8,3,1.0
utk_eth,8,2,10.0
vee_eth,8,2,10.0
vib_eth,8,3,1.0
viu_eth,8,1,10.0
wfee_eth,8,1,10.0
wrc_eth,8,2,10.0
wtc_eth,8,4,0.1
xmr_eth,8,6,0.001
xuc_eth,8,4,0.1
yee_eth,8,1,10.0
yoyo_eth,8,2,10.0
zec_eth,8,6,0.001
zen_eth,8,5,0.01
zip_eth,8,0,10.0
zrx_eth,8,3,1.0
